city,x,y
Adana,-1, -81
Adıyaman,109, -53
Afyonkarahisar,-178, -8
Ağrı,278, 40
Aksaray,-55, -24
Amasya,12, 83
Ankara,-100, 39
Antalya,-174, -92
Ardahan,266, 115
Artvin,229, 114.0
Aydın,-284, -46
Balıkesir,-276, 42
Bartın,-105, 129
Batman,219, -40
Bayburt,174, 66
Bilecik,-195,
Bingöl,197, 10
Bitlis,257, -14
Bolu,-137, 80
Burdur,-206, -63
Bursa,-238, 63
Çanakkale,-314, 65
Çankırı,-78, 86
Çorum,-31, 75
Denizli,-236, -47
Diyarbakır,189, -31
Düzce,-152, 95
Edirne,-319, 120
Elazığ,146, -14
Erzincan,140, 38
Erzurum,220, 58
Eskişehir,-164, 37
Gaziantep,73, -87
Giresun,112, 80
Gümüşhane,145, 67
Hakkâri,327, -56
Hatay,32, -122
Iğdır,312, 58
Isparta,-1, -48
İstanbul,-238, 112
İzmir,-312, -14
Kahramanmaraş,54, -50
Karabük,-104, 109
Karaman,-82, -87
Kars,278, 80
Kastamonu,-63, 120
Kayseri,16, -15
Kilis,66, -103
Kırıkkale,-67, 42
Kırklareli,-287, 140
Kırşehir,-48, 14
Kocaeli,-199, 96
Konya,-118, -41
Kütahya,-216, 22
Malatya,96, -20
Manisa,-273, 3
Mardin,205, -69
Mersin,-61, -110
Muğla,-262, -84
Muş,238, 7
Nevşehir,-27, -8
Niğde,-29, -50
Ordu,72, 91
Osmaniye,27, -81
Rize,196, 100
Sakarya,-177, 88
Samsun,21, 106
Şanlıurfa,137, -83
Siirt,250, -42
Sinop,-17, 128
Sivas,67, 34
Şırnak,267, -62
Tekirdağ,-292, 112
Tokat,44, 71
Trabzon,158, 93
Tunceli,149, 13
Uşak,-223, -13
Van,307, -13
Yalova,-225, 85
Yozgat,-8, 31
Zonguldak,-130, 111